epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,418.288,1.4689,1.28541,1.80445,0.72357,0.74157,0.78387,0.6476,1.41884,1.33233,1.83624,0.0004654,0.0004654,0.0004654
56,426.724,1.48561,1.31343,1.81629,0.71816,0.73005,0.76591,0.6353,1.42753,1.32483,1.82558,0.0004555,0.0004555,0.0004555
57,435.055,1.48071,1.27833,1.80698,0.75229,0.73425,0.79486,0.65979,1.41601,1.31707,1.84168,0.0004456,0.0004456,0.0004456
58,443.39,1.46475,1.25306,1.81723,0.74648,0.76512,0.80788,0.6697,1.40776,1.28477,1.81836,0.0004357,0.0004357,0.0004357
59,451.773,1.46716,1.25657,1.81245,0.7197,0.72174,0.77602,0.64191,1.42926,1.35097,1.84481,0.0004258,0.0004258,0.0004258
60,460.071,1.47535,1.27445,1.81023,0.73948,0.74374,0.79534,0.65295,1.42105,1.36407,1.84004,0.0004159,0.0004159,0.0004159
61,468.511,1.41358,1.25645,1.81729,0.73988,0.72319,0.7793,0.64813,1.43229,1.34772,1.84144,0.000406,0.000406,0.000406
62,476.841,1.46933,1.27417,1.81569,0.70397,0.77575,0.79058,0.649,1.43359,1.42269,1.83319,0.0003961,0.0003961,0.0003961
63,485.25,1.46198,1.24325,1.81096,0.73615,0.73637,0.79117,0.6608,1.3973,1.36111,1.8268,0.0003862,0.0003862,0.0003862
64,493.621,1.43444,1.21667,1.80002,0.7277,0.75157,0.80059,0.66786,1.39397,1.27155,1.83315,0.0003763,0.0003763,0.0003763
65,501.922,1.41106,1.17767,1.80132,0.77008,0.74726,0.81284,0.67492,1.3983,1.31119,1.82438,0.0003664,0.0003664,0.0003664
66,510.395,1.43806,1.20247,1.80312,0.77822,0.72303,0.80125,0.66692,1.39837,1.27395,1.82008,0.0003565,0.0003565,0.0003565
