epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,149.507,2.29734,1.31381,2.03551,0.77783,0.73994,0.79733,0.49691,2.63964,1.48729,2.15738,0.00253024,0.00253024,0.00253024
69,151.736,2.27038,1.29423,2.03269,0.71925,0.78819,0.8222,0.49098,2.74939,1.46598,2.19494,0.00239766,0.00239766,0.00239766
70,153.991,2.32484,1.3098,2.05099,0.72201,0.79511,0.81347,0.50442,2.64593,1.45976,2.16944,0.00226769,0.00226769,0.00226769
71,156.26,2.33834,1.26587,2.06707,0.80234,0.74928,0.82037,0.5233,2.6421,1.42052,2.18643,0.00214046,0.00214046,0.00214046
72,158.483,2.23863,1.22888,2.01697,0.73274,0.84609,0.8277,0.50978,2.7559,1.41438,2.22673,0.00201611,0.00201611,0.00201611
73,160.776,2.26118,1.24822,2.02836,0.78442,0.68865,0.79131,0.47924,2.75091,1.53298,2.21309,0.00189475,0.00189475,0.00189475
74,163.009,2.31898,1.31088,2.0479,0.69506,0.73523,0.76698,0.47124,2.74213,1.61998,2.21598,0.00177651,0.00177651,0.00177651
75,165.22,2.34351,1.27709,2.06114,0.66088,0.76065,0.77652,0.48287,2.70086,1.56507,2.18599,0.00166149,0.00166149,0.00166149
76,166.949,2.2797,1.27185,2.02278,0.68876,0.75546,0.77574,0.47939,2.70159,1.50054,2.18367,0.00154982,0.00154982,0.00154982
77,168.136,2.23879,1.2833,2.03445,0.69712,0.71183,0.74996,0.4595,2.78169,1.61924,2.23516,0.00144161,0.00144161,0.00144161
78,169.372,2.26376,1.27316,2.03634,0.63571,0.84126,0.77041,0.46868,2.79493,1.60617,2.22946,0.00133695,0.00133695,0.00133695
79,170.615,2.22913,1.22873,2.04373,0.70042,0.79547,0.79542,0.47852,2.82244,1.51055,2.25275,0.00123596,0.00123596,0.00123596
80,171.952,2.27838,1.25151,2.03602,0.72608,0.78494,0.81416,0.49029,2.79603,1.4414,2.23426,0.00113873,0.00113873,0.00113873
81,173.193,2.23116,1.19033,2.02557,0.8247,0.78091,0.82435,0.50606,2.77643,1.37409,2.22326,0.00104537,0.00104537,0.00104537
82,174.43,2.22251,1.1733,2.01498,0.81689,0.7766,0.82775,0.49773,2.85883,1.39888,2.26869,0.000955951,0.000955951,0.000955951
83,175.661,2.239,1.20633,2.02022,0.77792,0.77626,0.81444,0.47693,2.91322,1.42143,2.29377,0.000870577,0.000870577,0.000870577
84,177.242,2.21414,1.21436,2.02512,0.80868,0.73523,0.81287,0.48894,2.79552,1.4279,2.24123,0.000789327,0.000789327,0.000789327
85,179.521,2.20676,1.23401,2.01769,0.64412,0.77677,0.78942,0.48744,2.68083,1.73763,2.18749,0.000712282,0.000712282,0.000712282
86,181.741,2.16562,1.15809,1.9891,0.6185,0.84004,0.77185,0.47914,2.7393,1.72473,2.21177,0.000639518,0.000639518,0.000639518
87,183.997,2.20477,1.14629,2.00082,0.68032,0.82131,0.78081,0.48065,2.78579,1.55093,2.22414,0.000571106,0.000571106,0.000571106
88,186.236,2.20078,1.14662,2.01818,0.75594,0.77943,0.79648,0.50579,2.68182,1.41951,2.17862,0.000507115,0.000507115,0.000507115
89,188.506,2.20677,1.16942,2.01121,0.74177,0.79827,0.7941,0.51035,2.61073,1.43005,2.15422,0.000447606,0.000447606,0.000447606
90,190.778,2.2157,1.16482,2.00497,0.70619,0.82667,0.7886,0.5046,2.62065,1.45478,2.15757,0.00039264,0.00039264,0.00039264
91,222.944,2.09867,1.06503,1.96049,0.72037,0.74764,0.78913,0.49654,2.70046,1.48591,2.19487,0.00034227,0.00034227,0.00034227
92,225.154,2.0584,1.04277,1.95061,0.66064,0.81256,0.79009,0.48895,2.78733,1.51096,2.24223,0.000296546,0.000296546,0.000296546
93,227.383,2.0598,1.01237,1.94457,0.68692,0.75282,0.77693,0.47711,2.81876,1.5176,2.25081,0.000255513,0.000255513,0.000255513
94,229.651,2.0817,1.0226,1.96015,0.65398,0.78783,0.77371,0.48214,2.75694,1.51836,2.22045,0.000219212,0.000219212,0.000219212
95,231.869,2.07499,1.00416,1.9384,0.66701,0.79793,0.77852,0.48798,2.719,1.5125,2.20208,0.000187678,0.000187678,0.000187678
96,234.151,2.08738,0.99152,1.94456,0.73394,0.71776,0.78441,0.49369,2.69158,1.51849,2.18507,0.000160943,0.000160943,0.000160943
97,236.482,2.09498,1.01865,1.95516,0.7406,0.7148,0.79561,0.50155,2.69319,1.53345,2.1862,0.000139032,0.000139032,0.000139032
98,238.171,2.07963,0.989,1.95186,0.75147,0.70389,0.80196,0.50161,2.70125,1.54802,2.18686,0.000121968,0.000121968,0.000121968
99,239.483,2.07321,0.9978,1.96929,0.7578,0.69678,0.80511,0.5016,2.73136,1.54939,2.20283,0.000109768,0.000109768,0.000109768
100,240.758,2.07434,1.00956,1.9505,0.74696,0.69764,0.80398,0.49184,2.80639,1.56757,2.23987,0.000102443,0.000102443,0.000102443
