epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1153.57,0.6493,0.26969,0.00128,0.87864,0.88178,0.92111,0.7701,0.76924,0.6332,0.00249,0.000189078,0.000189078,0.000189078
79,1168.6,0.62821,0.25475,0.00126,0.8908,0.86536,0.91869,0.7676,0.77167,0.63874,0.0025,0.000182702,0.000182702,0.000182702
80,1183.44,0.63206,0.25622,0.00127,0.87643,0.88107,0.91956,0.77272,0.76884,0.64788,0.0025,0.000176327,0.000176327,0.000176327
81,1198.68,0.63287,0.25798,0.00124,0.88776,0.87919,0.92217,0.76874,0.77683,0.62257,0.00251,0.000169951,0.000169951,0.000169951
82,1213.44,0.62607,0.25224,0.00125,0.89878,0.86399,0.92209,0.77251,0.76898,0.64372,0.00249,0.000163575,0.000163575,0.000163575
83,1228.25,0.62428,0.25066,0.00127,0.89479,0.86955,0.91996,0.77005,0.768,0.63861,0.00248,0.0001572,0.0001572,0.0001572
84,1243.27,0.62478,0.25451,0.00124,0.87948,0.87847,0.91212,0.75906,0.78843,0.67517,0.00254,0.000150824,0.000150824,0.000150824
85,1258.19,0.62093,0.25457,0.00123,0.8764,0.88636,0.91789,0.7661,0.76681,0.64355,0.00249,0.000144449,0.000144449,0.000144449
86,1273.33,0.61342,0.2455,0.00121,0.87433,0.8838,0.91577,0.76561,0.77678,0.65617,0.00252,0.000138073,0.000138073,0.000138073
87,1288.31,0.61494,0.25314,0.00123,0.88686,0.88067,0.91961,0.7704,0.77564,0.65164,0.0025,0.000131697,0.000131697,0.000131697
88,1303.12,0.61035,0.24487,0.0012,0.87706,0.88633,0.91908,0.76927,0.77043,0.6507,0.00249,0.000125322,0.000125322,0.000125322
89,1317.85,0.60493,0.24551,0.00123,0.88745,0.87512,0.9176,0.76847,0.76913,0.65093,0.00248,0.000118946,0.000118946,0.000118946
90,1332.6,0.60252,0.23905,0.00119,0.89912,0.86387,0.91889,0.77372,0.76862,0.65816,0.00248,0.000112571,0.000112571,0.000112571
91,1348.52,0.58844,0.23729,0.0013,0.87509,0.87811,0.91401,0.76505,0.78178,0.63873,0.00253,0.000106195,0.000106195,0.000106195
92,1363.31,0.566,0.21559,0.00126,0.886,0.87788,0.91759,0.7684,0.77777,0.6329,0.00252,9.98193e-05,9.98193e-05,9.98193e-05
93,1378.49,0.56614,0.21246,0.00125,0.88147,0.88153,0.91916,0.7679,0.77664,0.6443,0.00251,9.34437e-05,9.34437e-05,9.34437e-05
94,1393.75,0.55741,0.21004,0.00124,0.88284,0.87337,0.9181,0.76919,0.7799,0.64859,0.00252,8.70681e-05,8.70681e-05,8.70681e-05
95,1408.58,0.54827,0.20484,0.00125,0.88215,0.87953,0.91823,0.76871,0.78552,0.6606,0.00254,8.06925e-05,8.06925e-05,8.06925e-05
96,1423.44,0.54504,0.20633,0.00124,0.89521,0.85983,0.91597,0.76802,0.77619,0.65426,0.00251,7.43169e-05,7.43169e-05,7.43169e-05
97,1438.34,0.5437,0.20421,0.00121,0.89071,0.86762,0.9188,0.76989,0.77809,0.6559,0.00252,6.79412e-05,6.79412e-05,6.79412e-05
98,1453.28,0.53631,0.19766,0.00121,0.86817,0.89224,0.9172,0.76882,0.7788,0.66348,0.00252,6.15656e-05,6.15656e-05,6.15656e-05
99,1467.93,0.53849,0.20087,0.0012,0.87583,0.881,0.91608,0.76847,0.77456,0.66008,0.00251,5.519e-05,5.519e-05,5.519e-05
100,1482.53,0.53499,0.2003,0.00121,0.88895,0.86771,0.91692,0.76934,0.77538,0.66621,0.00252,4.88144e-05,4.88144e-05,4.88144e-05
